#Mission K2
#Campaign 6
#Column 1, Custom Aperture Number/Dataset number
#Column 2, Trojan/Asteroid designation number
#Created by Susan Thompson
#Created on 2016-02-02
200043788,13185
200043789,13185
200043790,13185
200043791,13185
200043792,13185
200043793,13185
200043794,13185
200043795,13185
200043796,13185
200043797,13185
200043798,13185
200043799,13185
200043800,13185
200043801,13185
200043802,13185
200043803,13185
200043804,13185
200043805,13185
200043806,13185
200043807,13185
200043808,13185
200043809,13185
200043810,13185
200043811,13185
200043812,13185
200043813,13185
200043814,13185
200043815,13185
200043816,13185
200043817,13185
200043818,13185
200043819,13185
200043820,13185
200043821,13185
200043822,13185
200043823,13185
200043824,13185
200043825,13185
200043826,13185
200043827,13185
200043828,13185
200043829,13185
200043830,13185
