# K2 Campaign 6
# Guide Star Information
# Time (JD), FGS Flux
# 
2457222.48652,   1.5200000000000E+04
2457222.48721,   1.5074000000000E+04
2457222.4879,   1.4996000000000E+04
2457222.48859,   1.5086000000000E+04
2457222.48928,   1.5213000000000E+04
2457222.48997,   1.5121000000000E+04
2457222.49066,   1.5415000000000E+04
2457222.49134,   1.5598000000000E+04
2457222.49203,   1.5640000000000E+04
2457222.49272,   1.5301000000000E+04
2457222.49341,   1.5399000000000E+04
2457222.4941,   1.5203000000000E+04
2457222.49479,   1.5147000000000E+04
2457222.49548,   1.5261000000000E+04
2457222.49617,   1.5231000000000E+04
2457222.49685,   1.5243000000000E+04
2457222.49754,   1.5713000000000E+04
2457222.49823,   1.5291000000000E+04
2457222.49892,   1.5041000000000E+04
2457222.49961,   1.5040000000000E+04
2457222.5003,   1.5498000000000E+04
2457222.50099,   1.5345000000000E+04
2457222.50167,   1.5381000000000E+04
2457222.50236,   1.5358000000000E+04
2457222.50305,   1.5373000000000E+04
2457222.50374,   1.5260000000000E+04
2457222.50443,   1.5356000000000E+04
2457222.50512,   1.5756000000000E+04
2457222.50581,   1.5209000000000E+04
2457222.5065,   1.5989000000000E+04
2457222.50718,   1.5286000000000E+04
2457222.50787,   1.5611000000000E+04
2457222.50856,   1.5393000000000E+04
2457222.50925,   1.5390000000000E+04
2457222.50994,   1.5423000000000E+04
2457222.51063,   1.5556000000000E+04
2457222.51132,   1.5367000000000E+04
2457222.512,   1.5249000000000E+04
2457222.51269,   1.5290000000000E+04
2457222.51338,   1.6110000000000E+04
2457222.51407,   1.5554000000000E+04
2457222.51476,   1.5490000000000E+04
2457222.51545,   1.5420000000000E+04
2457222.51614,   1.5456000000000E+04
2457222.51683,   1.6054000000000E+04
2457222.51751,   1.6088000000000E+04
2457222.5182,   1.6129000000000E+04
2457222.51889,   1.5274000000000E+04
2457222.51958,   1.5374000000000E+04
2457222.52027,   1.5881000000000E+04
2457222.52096,   1.5471000000000E+04
2457222.52165,   1.5526000000000E+04
2457222.52233,   1.5441000000000E+04
2457222.52302,   1.5538000000000E+04
2457222.52371,   1.5470000000000E+04
2457222.5244,   1.5452000000000E+04
2457222.52509,   1.5800000000000E+04
2457222.52578,   1.5266000000000E+04
2457222.52647,   1.5371000000000E+04
2457222.52716,   1.5849000000000E+04
2457222.52784,   1.5498000000000E+04
2457222.52853,   1.5471000000000E+04
2457222.52922,   1.5476000000000E+04
2457222.52991,   1.5511000000000E+04
2457222.5306,   1.6333000000000E+04
2457222.53129,   1.5479000000000E+04
2457222.53198,   1.5505000000000E+04
2457222.53266,   1.5714000000000E+04
2457222.53335,   1.5362000000000E+04
2457222.53404,   1.5817000000000E+04
2457222.53473,   1.5630000000000E+04
2457222.53542,   1.5453000000000E+04
2457222.53611,   1.5525000000000E+04
2457222.5368,   1.5470000000000E+04
2457222.53748,   1.5509000000000E+04
2457222.53817,   1.5564000000000E+04
2457222.53886,   1.5442000000000E+04
2457222.53955,   1.5810000000000E+04
2457222.54024,   1.5305000000000E+04
2457222.54093,   1.5945000000000E+04
2457222.54162,   1.5622000000000E+04
2457222.54231,   1.5623000000000E+04
2457222.54299,   1.5400000000000E+04
2457222.54368,   1.5389000000000E+04
2457222.54437,   1.5389000000000E+04
2457222.54506,   1.5375000000000E+04
2457222.54575,   1.5660000000000E+04
2457222.54644,   1.5822000000000E+04
2457222.54713,   1.5196000000000E+04
2457222.54781,   1.5131000000000E+04
2457222.5485,   1.5477000000000E+04
2457222.54919,   1.5443000000000E+04
2457222.54988,   1.5329000000000E+04
2457222.55057,   1.5272000000000E+04
2457222.55126,   1.5332000000000E+04
2457222.55195,   1.5249000000000E+04
2457222.55264,   1.5228000000000E+04
2457222.55332,   1.5080000000000E+04
2457222.55401,   1.5141000000000E+04
2457222.5547,   1.4948000000000E+04
2457222.55539,   1.5410000000000E+04
2457222.55608,   1.5237000000000E+04
2457222.55677,   1.5222000000000E+04
2457222.55746,   1.5212000000000E+04
2457222.55814,   1.5144000000000E+04
2457222.55883,   1.5127000000000E+04
2457222.55952,   1.4992000000000E+04
2457222.56021,   1.4842000000000E+04
2457222.5609,   1.4970000000000E+04
2457222.56159,   1.4799000000000E+04
2457222.56228,   1.5153000000000E+04
2457222.56297,   1.5137000000000E+04
2457222.56365,   1.4888000000000E+04
2457222.56434,   1.5120000000000E+04
2457222.56503,   1.4938000000000E+04
2457222.56572,   1.4921000000000E+04
2457222.56641,   1.4966000000000E+04
2457222.5671,   1.4647000000000E+04
2457222.56779,   1.4688000000000E+04
2457222.56847,   1.5129000000000E+04
