EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
231953206, 255.032296, -27.953405, 9.713, GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
231962434, 257.189631, -27.913307, 10.872, GO11123_LC|GO11098_LC
231963613, 257.151928, -27.90812, 9.975, GO11123_LC|GO11098_LC
231963721, 254.99297, -27.907644, 10.135, GO11123_LC|GO11098_LC
231969338, 254.990944, -27.883204, 11.112, GO11123_LC|GO11098_LC|GO11019_LC
231977726, 254.05745, -27.846985, 11.033, GO11122_LC|GO11098_LC
231984277, 256.497889, -27.81847, 10.761, GO11098_LC
232008086, 255.408444, -27.715022, 11.188, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
232016173, 255.47786, -27.679889, 11.013, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
232101474, 254.364631, -27.288126, 11.227, GO11071_LC|GO11122_LC|GO11098_LC
232103067, 254.325456, -27.281055, 10.912, GO11122_LC|GO11098_LC|GO11038_LC
232130570, 255.513573, -27.156837, 10.898, GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC|GO11024_LC
232139382, 255.035198, -27.118136, 10.111, GO11123_LC|GO11098_LC
232140744, 255.068113, -27.11207, 10.461, GO11123_LC|GO11098_LC
232149016, 255.520202, -27.074361, 11.558, GO11071_LC|GO11122_LC|GO11098_LC
232180733, 255.484222, -26.930338, 10.424, GO11098_LC
232185918, 255.440479, -26.90686, 11.052, GO11098_LC
232196781, 254.194727, -26.857066, 10.972, GO11122_LC|GO11098_LC
232197676, 256.377592, -26.853112, 10.592, GO11098_LC
232203972, 254.24545, -26.824719, 10.155, GO11122_LC|GO11098_LC|GO11024_LC
232214765, 256.353448, -26.776846, 11.142, GO11098_LC
232218970, 257.35798, -26.757213, 10.933, GO11123_LC|GO11098_LC
232222131, 254.136224, -26.742938, 10.284, GO11122_LC|GO11098_LC
232225282, 256.544071, -26.728316, 11.31, GO11071_LC|GO11122_LC|GO11098_LC|GO11019_LC
232235255, 256.55656, -26.682531, 11.576, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
232235575, 257.39162, -26.681061, 10.768, GO11123_LC|GO11098_LC
232238167, 256.571692, -26.668958, 11.081, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
232239108, 254.125541, -26.664634, 10.216, GO11122_LC|GO11098_LC
232266216, 254.646949, -26.538141, 11.1, GO11098_LC
232274269, 254.601063, -26.499666, 10.818, GO11098_LC
232310339, 256.283688, -26.32444, 10.585, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
232319475, 256.299316, -26.279618, 10.104, GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
233139090, 257.312055, -31.051902, 10.694, GO11098_LC
233151176, 257.302966, -31.004407, 11.016, GO11048_LC|GO11098_LC
233172608, 257.20135, -30.919218, 11.199, GO11098_LC
233184857, 257.162506, -30.870104, 10.775, GO11122_LC|GO11098_LC
233239395, 257.868397, -30.650435, 10.401, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
233241699, 257.90344, -30.640963, 11.326, GO11071_LC|GO11122_LC|GO11098_LC
