#cadence number, black residual [ADU/LC/pixel]
142197, -6.967910
142198, -8.427905
142199, -7.486347
142200, -5.353328
142201, -5.302167
142202, -5.527964
142203, -5.947582
142204, -5.225426
142205, -7.012616
142206, -6.698763
142207, -6.373104
142208, -5.103326
142209, -6.838964
142210, -3.405276
142211, -5.923267
142212, -8.977394
142213, -5.952010
142214, -10.558046
142215, -6.226508
142216, -5.135402
142217, -4.752136
142218, -4.691124
142219, NaN
142220, -4.440302
142221, -6.183218
142222, -6.587586
142223, -7.092801
142224, -5.419247
142225, -6.181250
142226, -7.042624
142227, -15.082578
142228, -7.083454
142229, 0.228125
142230, -5.918067
142231, -6.044493
142232, -7.152325
142233, -7.249727
142234, -5.572238
142235, -6.076469
142236, -6.097130
142237, -9.219082
142238, -5.271481
142239, -6.995398
142240, -5.231821
142241, -10.509783
142242, -6.578029
142243, -7.357952
142244, -6.501006
142245, -6.573320
142246, -6.415902
142247, -13.737340
142248, -6.041050
142249, -6.041050
142250, -5.213445
142251, -6.510353
142252, -6.320959
142253, -4.295674
142254, -5.492293
142255, -6.461160
142256, -5.634222
142257, -7.446008
142258, -7.360412
142259, -7.373202
142260, -6.746481
142261, -5.507303
142262, -5.937744
142263, -6.268814
142264, -7.078029
142265, -6.539869
142266, -6.562990
142267, -6.820588
142268, -8.004351
142269, -5.793608
142270, -6.749432
142271, -9.968921
142272, -7.571943
142273, -7.093785
142274, -6.859133
142275, -11.333464
142276, -6.609723
142277, -6.987527
142278, -7.963727
142279, -7.961061
142280, -13.154007
142281, -7.485363
142282, -6.152718
142283, -7.353033
142284, -5.833981
142285, -10.696838
142286, -6.352443
142287, -7.798232
142288, -5.406898
142289, -6.864544
142290, -6.598409
142291, -5.354804
142292, -7.491266
142293, -6.966374
142294, -5.610117
142295, -8.101262
142296, -5.996776
142297, -7.157736
142298, -6.315548
142299, -7.614741
142300, -6.377039
142301, -5.708981
142302, -5.495497
142303, -6.515348
142304, -6.625957
142305, -7.515371
142306, -7.545379
142307, -7.840046
142308, -13.993293
142309, -7.338767
142310, -10.687068
142311, -8.011239
142312, -6.087783
142313, -10.553863
142314, -5.361691
142315, NaN
142316, -8.452010
142317, -11.168728
142318, -7.255139
142319, -6.780916
142320, -7.928594
142321, -5.725350
142322, -7.502089
142323, -7.491266
142324, -6.551675
142325, -6.682529
142326, -5.790164
142327, -10.913741
142328, -11.876579
142329, -7.579814
142330, -6.502974
142331, -6.432628
142332, -7.210865
142333, -13.386150
142334, -7.301872
142335, -6.798133
142336, -7.888747
142337, -8.141109
142338, -6.850770
142339, -5.297740
142340, -5.862970
142341, -8.023045
142342, -10.743857
142343, -8.701911
142344, -8.459389
142345, -7.323025
142346, -11.515896
142347, -7.277276
142348, -7.351557
142349, -8.301479
142350, -6.041050
142351, -7.568991
142352, -6.744021
142353, -7.819385
142354, -6.986544
142355, -8.431482
142356, -8.728476
142357, -12.022814
142358, -14.767102
142359, -7.240381
142360, -7.136091
142361, -8.407244
142362, -12.334912
142363, -6.114880
142364, -7.718047
142365, -10.117891
142366, -15.582578
142367, -8.280325
142368, -7.673281
142369, -8.136065
142370, -8.805707
142371, -6.437055
142372, -8.125367
142373, -8.389043
142374, -6.221589
142375, -12.322685
142376, -8.081093
142377, -8.513501
142378, -8.606969
142379, -7.543411
142380, -9.311416
142381, -11.767505
142382, -9.003958
142383, -7.859231
142384, -6.890529
142385, -6.938826
142386, -7.537508
142387, -6.806004
142388, -9.850678
142389, -9.295182
142390, -8.648783
142391, -9.400947
142392, -9.546067
142393, -9.900751
142394, -7.860215
142395, -8.888354
142396, -11.490639
142397, -7.974344
142398, -20.951626
142399, -9.069385
142400, -7.747071
142401, -12.786167
142402, -7.180857
142403, -6.658386
142404, -8.992643
142405, -12.658914
142406, -8.310172
142407, -11.787615
142408, -11.837325
142409, -10.806437
142410, -8.082569
142411, NaN
142412, -7.961324
142413, -8.313777
142414, -9.025945
142415, -8.860767
142416, -9.679873
142417, -9.434399
142418, -9.826961
142419, -8.948370
142420, -7.778329
142421, -9.698074
142422, -12.716830
142423, -10.719326
142424, -8.679283
