EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220207938, 13.1173553, 0.280702, 15.281, GO8056_LC|GO8031_LC
220208037, 16.1073036, 0.284907, 14.658, GO8056_LC|GO8032_LC|GO8042_LC
220208124, 13.5122166, 0.288071, 15.933, GO8056_LC|GO8031_LC
220208369, 14.2419167, 0.29786, 15.01, GO8056_LC|GO8031_LC
220208660, 12.6417904, 0.308421, 16.101, GO8056_LC
220208714, 12.5111723, 0.310729, 14.374, GO8056_LC|GO8032_LC
220208850, 18.9844875, 0.316225, 14.536, GO8056_LC|GO8032_LC
220208856, 12.6159649, 0.316603, 15.609, GO8056_LC|GO8032_LC
220209167, 19.4729214, 0.327392, 15.322, GO8056_LC|GO8031_LC
220209255, 12.9388475, 0.33062, 11.731, GO8056_LC|GO8068_LC|GO8032_LC|GO8077_LC|GO8008_LC
220209515, 19.5666237, 0.339293, 16.103, GO8056_LC
220209587, 13.1607037, 0.342257, 15.056, GO8056_LC|GO8031_LC
220209669, 13.5491629, 0.345059, 15.977, GO8056_LC|GO8031_LC
220209919, 20.3645954, 0.354781, 16.468, GO8056_LC
220209923, 19.9666348, 0.354882, 16.328, GO8056_LC
220210222, 11.3724384, 0.365659, 15.915, GO8056_LC|GO8031_LC
220210585, 13.2205763, 0.378732, 15.85, GO8056_LC|GO8031_LC
220210675, 12.5023737, 0.382208, 16.315, GO8056_LC
220210863, 17.4636574, 0.389139, 14.428, GO8056_LC|GO8032_LC
220210943, 16.4081497, 0.391696, 16.343, GO8056_LC
220211133, 19.071804, 0.398496, 15.385, GO8056_LC|GO8031_LC
220211168, 15.7297411, 0.399647, 15.784, GO8056_LC|GO8031_LC
220211398, 15.1998816, 0.406915, 15.931, GO8056_LC|GO8031_LC
220211740, 20.9157104, 0.419426, 13.901, GO8056_LC|GO8032_LC|GO8042_LC
220211951, 20.8960724, 0.42697, 16.244, GO8056_LC
220211973, 15.5772734, 0.42757, 14.203, GO8056_LC|GO8032_LC|GO8042_LC
220212234, 12.5062952, 0.436678, 16.327, GO8056_LC
220212578, 18.7690258, 0.447472, 16.055, GO8056_LC
220213395, 16.0683746, 0.475547, 14.558, GO8056_LC|GO8031_LC
220213557, 18.7312222, 0.481023, 15.014, GO8056_LC|GO8031_LC
220213662, 15.1484251, 0.484582, 16.17, GO8056_LC
220213700, 16.2186661, 0.486087, 15.557, GO8056_LC|GO8032_LC|GO8031_LC
220213870, 14.9138651, 0.492014, 16.04, GO8056_LC
220214057, 20.0234241, 0.49763, 15.089, GO8056_LC|GO8031_LC
220214084, 16.425499, 0.498314, 15.233, GO8056_LC|GO8032_LC
220214109, 16.3196545, 0.499325, 16.141, GO8056_LC
220214138, 16.5365257, 0.500216, 15.466, GO8056_LC|GO8032_LC
220214587, 15.1169453, 0.51513, 16.224, GO8056_LC
220214615, 18.5877972, 0.515941, 14.24, GO8056_LC|GO8032_LC|GO8042_LC
220214792, 15.1757917, 0.522414, 15.943, GO8056_LC|GO8031_LC
220214923, 19.4357719, 0.527525, 14.455, GO8056_LC|GO8042_LC
220215093, 20.6875267, 0.534519, 12.354, GO8056_LC|GO8008_LC
220215247, 14.0247879, 0.540699, 15.914, GO8056_LC|GO8031_LC
220215323, 20.5302734, 0.543286, 15.193, GO8056_LC|GO8031_LC
220215406, 17.6293259, 0.546599, 15.9, GO8056_LC
220215642, 13.1112986, 0.555631, 15.768, GO8056_LC|GO8032_LC
220215827, 19.2494965, 0.562328, 16.423, GO8056_LC
220215924, 21.0569878, 0.565422, 15.911, GO8056_LC|GO8031_LC
220216225, 15.6378794, 0.576025, 16.148, GO8056_LC
220216409, 13.8228636, 0.582522, 15.758, GO8056_LC|GO8031_LC
220216477, 15.2928839, 0.584807, 15.726, GO8056_LC|GO8031_LC
220216839, 13.919034, 0.597786, 16.216, GO8056_LC
220216931, 15.8147469, 0.600631, 16.13, GO8056_LC
220217046, 18.5276108, 0.605001, 15.113, GO8056_LC|GO8031_LC
220217050, 16.5576935, 0.605062, 14.704, GO8056_LC|GO8032_LC|GO8042_LC
220217080, 18.9847279, 0.606191, 15.544, GO8056_LC|GO8031_LC
220217175, 11.2987566, 0.609823, 14.683, GO8056_LC|GO8032_LC
220217188, 20.4400215, 0.61051, 15.912, GO8056_LC|GO8031_LC
220217252, 16.0954514, 0.612962, 15.434, GO8056_LC|GO8031_LC
220217615, 19.4264355, 0.626318, 15.748, GO8056_LC|GO8031_LC
220217642, 20.0663662, 0.627642, 15.909, GO8056_LC|GO8031_LC
220217731, 18.5640354, 0.630815, 15.943, GO8056_LC|GO8031_LC
220217748, 19.4771423, 0.631293, 15.743, GO8056_LC|GO8031_LC
220217754, 15.3857622, 0.631557, 14.912, GO8056_LC|GO8031_LC
220217757, 16.7015247, 0.631757, 16.129, GO8056_LC
220217802, 20.6988869, 0.633004, 15.778, GO8056_LC|GO8031_LC
220217929, 20.1279678, 0.637716, 16.298, GO8056_LC
220218077, 21.0985317, 0.643328, 16.219, GO8056_LC
220218078, 14.6510258, 0.64337, 16.184, GO8056_LC
220218291, 11.930521, 0.650383, 16.499, GO8056_LC
220218451, 18.2022629, 0.655442, 15.042, GO8056_LC|GO8032_LC
220218518, 11.4851198, 0.657621, 15.438, GO8056_LC|GO8031_LC
220218555, 15.7656898, 0.658785, 16.2, GO8056_LC
220218608, 20.9871025, 0.6603, 14.962, GO8056_LC|GO8031_LC
220218723, 16.6343288, 0.66376, 14.895, GO8056_LC|GO8032_LC
220218854, 15.1077576, 0.66836, 16.483, GO8056_LC
220218871, 13.4195099, 0.669505, 16.431, GO8056_LC
220219146, 13.1433268, 0.678497, 16.166, GO8056_LC
220219364, 13.048749, 0.685091, 15.659, GO8056_LC
220220174, 19.242115, 0.713497, 16.191, GO8056_LC
220220182, 13.5143747, 0.713954, 15.419, GO8056_LC|GO8031_LC
