# Summary of K2 Program GO17063

Title: The K2 M Dwarf Project

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: Ian Crossfield (MIT), Joshua Schlieder (NASA Goddard), Kevin Hardegree-Ullman(University of Toledo), Jessie Christiansen (NExScI/IPAC), Erik Petigura (Caltech)



# Targets requested by this program that have been observed (3210)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212461069, 197.6289825, -13.5653801, 17.551, GO17063_LC
212461255, 205.7112274, -13.5610943, 16.735, GO17063_LC
212461329, 201.8644867, -13.55968, 16.995, GO17063_LC
212461603, 199.238266, -13.5538063, 16.611, GO17063_LC
212461678, 198.2719269, -13.5520706, 16.878, GO17063_LC
212461760, 203.4811249, -13.5501261, 16.289, GO17063_LC
212461790, 197.8389587, -13.5493908, 16.803, GO17063_LC
212461891, 205.3365784, -13.547122, 15.899, GO17063_LC|GO17068_LC
212462249, 203.8620453, -13.5391302, 16.098, GO17063_LC|GO17068_LC
212462843, 199.7852783, -13.5272865, 17.422, GO17063_LC
212463248, 199.2960815, -13.5191612, 17.064, GO17063_LC
212463299, 200.9689789, -13.5181208, 17.197, GO17063_LC
212463655, 199.7332611, -13.5107222, 13.205, GO17063_LC|GO17068_LC
212463753, 205.0494995, -13.5085402, 16.559, GO17063_LC
212463806, 204.6099854, -13.5076599, 13.711, GO17063_LC|GO17068_LC
212463814, 205.7369537, -13.5074501, 17.298, GO17063_LC
212463880, 204.2406158, -13.5060825, 14.914, GO17011_LC|GO17063_LC|GO17068_LC
212464171, 200.8346252, -13.5001802, 15.11, GO17063_LC|GO17068_LC
212464382, 199.6709595, -13.4959335, 11.947, GO17048_LC|GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212464432, 199.8908386, -13.494894, 16.302, GO17063_LC
212464523, 202.1657104, -13.4928522, 14.693, GO17011_LC|GO17063_LC|GO17068_LC
212464536, 198.3762054, -13.4926062, 15.235, GO17063_LC|GO17068_LC
212464583, 198.5006256, -13.4916239, 15.334, GO17063_LC|GO17068_LC
212464711, 205.1176453, -13.4888554, 15.46, GO17063_LC|GO17068_LC
212465971, 205.8844299, -13.4619083, 17.66, GO17063_LC
212465997, 199.3538361, -13.4613962, 16.617, GO17063_LC
212466341, 198.3258209, -13.45438, 14.4, GO17011_LC|GO17063_LC|GO17068_LC
212466645, 204.5534668, -13.4482832, 16.469, GO17063_LC
212467016, 197.8826752, -13.4404793, 14.774, GO17063_LC|GO17068_LC
212467105, 198.4776001, -13.4385681, 14.676, GO17011_LC|GO17063_LC|GO17068_LC
212467343, 202.8890533, -13.4331951, 16.615, GO17063_LC
212467571, 200.5773315, -13.4286776, 14.855, GO17011_LC|GO17063_LC|GO17068_LC
212467634, 198.4023895, -13.4273958, 16.211, GO17063_LC
212468129, 199.0844727, -13.4161577, 16.407, GO17063_LC
212468159, 201.4508057, -13.4155645, 16.271, GO17063_LC
212468190, 204.728775, -13.4148521, 14.716, GO17063_LC|GO17068_LC
212468438, 203.9743652, -13.4091997, 16.947, GO17063_LC
212469434, 202.5870209, -13.3877287, 12.414, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212469553, 200.9815521, -13.3851328, 15.834, GO17063_LC|GO17068_LC
212469570, 199.9703064, -13.3847179, 15.067, GO17063_LC|GO17068_LC
212469574, 201.2202454, -13.384675, 15.763, GO17063_LC|GO17068_LC
212469593, 204.5241547, -13.384305, 13.545, GO17049_LC|GO17063_LC|GO17068_LC
212469621, 203.7145233, -13.383873, 15.813, GO17063_LC|GO17068_LC
212469924, 203.5179291, -13.3777666, 15.53, GO17063_LC|GO17068_LC
212470033, 202.5497284, -13.3752604, 16.01, GO17063_LC|GO17068_LC
212470075, 197.7586517, -13.3744707, 15.691, GO17063_LC|GO17068_LC
212470390, 198.4996185, -13.3680067, 17.082, GO17063_LC
212470959, 198.4478149, -13.3557911, 16.904, GO17063_LC
212471083, 205.4875031, -13.3525591, 17.268, GO17063_LC
212471481, 197.8851318, -13.3445082, 14.895, GO17063_LC|GO17068_LC
212471605, 199.8440247, -13.3419666, 14.54, GO17063_LC|GO17068_LC
212471666, 201.9698792, -13.3409595, 14.844, GO17063_LC|GO17068_LC
212472189, 204.8961029, -13.3303986, 16.68, GO17063_LC
212472198, 203.8093719, -13.3302603, 15.448, GO17063_LC|GO17068_LC
212472347, 204.3972626, -13.3274441, 15.499, GO17063_LC|GO17068_LC
212472396, 202.899826, -13.3264513, 15.069, GO17063_LC|GO17068_LC
212472668, 199.7171783, -13.320611, 16.01, GO17063_LC|GO17068_LC
212472716, 198.9989166, -13.3197479, 15.004, GO17063_LC|GO17068_LC
212473048, 201.739502, -13.3125896, 13.826, GO17049_LC|GO17063_LC|GO17068_LC
212473287, 198.1096954, -13.3076067, 16.878, GO17063_LC
212473451, 205.8849335, -13.3039951, 15.484, GO17063_LC|GO17068_LC
212473473, 202.2083282, -13.3034334, 17.252, GO17063_LC
212473531, 201.6276703, -13.3019867, 17.342, GO17063_LC
212473713, 201.6240082, -13.2984324, 16.238, GO17063_LC
212473837, 199.5897827, -13.2962246, 14.819, GO17011_LC|GO17063_LC|GO17068_LC
212474370, 200.0556183, -13.2846241, 15.295, GO17063_LC|GO17068_LC
212474407, 203.7656403, -13.2837257, 16.241, GO17063_LC
212474614, 202.5543365, -13.2793655, 16.058, GO17063_LC|GO17068_LC
212474677, 205.6529846, -13.2779827, 16.683, GO17063_LC
212474749, 204.2481232, -13.2761889, 16.938, GO17063_LC
212475278, 202.5299988, -13.2655973, 17.528, GO17063_LC
212475396, 198.1825104, -13.263257, 15.2, GO17063_LC|GO17068_LC
212475526, 198.1281738, -13.2607584, 16.13, GO17063_LC|GO17068_LC
212475594, 198.867981, -13.2593708, 16.356, GO17063_LC
212475685, 198.7064972, -13.2573156, 17.209, GO17063_LC
212475729, 202.2253113, -13.2565002, 17.558, GO17063_LC
212475925, 202.5289459, -13.2521906, 16.807, GO17063_LC
212475986, 202.8429718, -13.2508965, 12.473, GO17063_LC|GO17068_LC
212476028, 201.9858246, -13.2501163, 15.201, GO17063_LC|GO17068_LC
212476057, 199.2889099, -13.2494192, 17.312, GO17063_LC
212476089, 205.6334381, -13.2487011, 16.35, GO17063_LC
212476565, 197.7195282, -13.2393522, 16.884, GO17063_LC
212476992, 201.4306793, -13.2301369, 14.262, GO17063_LC|GO17068_LC
212477024, 202.1248779, -13.2295856, 16.157, GO17063_LC|GO17068_LC
212477363, 198.7221985, -13.2219505, 13.151, GO17063_LC|GO17068_LC
212477374, 205.7372589, -13.2217636, 16.784, GO17063_LC
212477591, 202.5595245, -13.2174301, 16.545, GO17063_LC|GO17064_LC
212477846, 200.8815613, -13.2120266, 15.784, GO17063_LC|GO17068_LC
212477943, 202.6793823, -13.2097178, 12.681, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212478353, 199.1493378, -13.2013865, 13.453, GO17063_LC|GO17068_LC
212478420, 205.6659241, -13.1996889, 17.146, GO17063_LC
212478443, 201.7902069, -13.1992121, 17.123, GO17063_LC
212478698, 200.029129, -13.1936188, 16.916, GO17063_LC
212478721, 202.0304871, -13.193202, 16.226, GO17063_LC
212478962, 203.0239868, -13.1881266, 15.411, GO17063_LC|GO17068_LC
212478993, 200.816864, -13.1874266, 15.218, GO17063_LC|GO17064_LC|GO17068_LC
212479007, 198.3763733, -13.1872168, 14.323, GO17011_LC|GO17063_LC|GO17068_LC
212479332, 202.983078, -13.1799297, 16.284, GO17063_LC
212479537, 201.3887024, -13.175684, 16.144, GO17063_LC|GO17068_LC
212479654, 197.6633911, -13.1729813, 16.214, GO17063_LC
212479987, 204.1005707, -13.1662674, 15.945, GO17063_LC|GO17068_LC
212480194, 203.8568878, -13.1612911, 16.152, GO17063_LC|GO17068_LC
212480691, 204.2150421, -13.1507683, 13.821, GO17063_LC|GO17068_LC
212480714, 199.3829193, -13.1503668, 14.826, GO17063_LC|GO17068_LC
212480885, 205.4207153, -13.1464987, 15.884, GO17063_LC|GO17068_LC
