EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
248368957, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
248368958, , , , GO10006_LC
248368959, , , , GO10018_LC|GO10006_LC
248368960, , , , GO10019_LC|GO10006_LC
248368961, , , , GO10006_LC
248368962, , , , GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
248368963, , , , GO10006_LC
248368964, , , , GO10006_LC
248368965, , , , GO10006_LC
248368966, , , , GO10006_LC
248368967, , , , GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10018_SC|GO10048_SC|GO10011_SC
248368968, , , , GO10006_LC
248368969, , , , GO10006_LC
248368970, , , , GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
