EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246444916, 348.725278, 0.418695, 17.969, GO12078_LC
246445355, 349.875733, 0.432915, 18.108, GO12078_LC
246445421, 349.044393, 0.434817, 17.954, GO12078_LC
246445446, 349.745707, 0.43567, 18.219, GO12078_LC
246445463, 351.002263, 0.436305, 18.26, GO12078_LC
246445501, 351.40825, 0.437171, 18.104, GO12078_LC
246445872, 348.864168, 0.447936, 17.241, GO12078_LC
246445956, 350.128498, 0.450521, 17.835, GO12078_LC
246445968, 348.473834, 0.450747, 17.953, GO12078_LC
246446748, 352.512541, 0.475674, 18.196, GO12078_LC
246446973, 350.370551, 0.483008, 17.863, GO12078_LC
246447155, 350.229355, 0.488461, 17.654, GO12078_LC
246447473, 349.961822, 0.498796, 17.04, GO12078_LC
246447530, 348.336488, 0.500277, 17.453, GO12078_LC
246447618, 348.967933, 0.503132, 16.944, GO12078_LC
246447689, 351.028853, 0.505014, 17.724, GO12078_LC
246447822, 348.325529, 0.508882, 18.172, GO12078_LC
246448033, 348.420451, 0.515228, 18.459, GO12078_LC
246448120, 348.448017, 0.518078, 18.326, GO12078_LC
246449186, 351.569611, 0.551404, 17.432, GO12078_LC
246449419, 351.429887, 0.55836, 18.536, GO12078_LC
246449439, 350.252506, 0.559247, 18.434, GO12078_LC
246449546, 350.275696, 0.562775, 18.069, GO12078_LC
246450241, 349.944541, 0.585022, 17.005, GO12078_LC
246450254, 351.092225, 0.585379, 17.845, GO12078_LC
246450311, 349.68156, 0.587435, 18.268, GO12078_LC
246450636, 350.790586, 0.59735, 17.524, GO12078_LC
246450734, 351.222743, 0.600412, 18.527, GO12078_LC
246450930, 348.284643, 0.606695, 18.474, GO12078_LC
246450978, 348.129962, 0.608305, 17.777, GO12078_LC
246451000, 351.725855, 0.609126, 17.72, GO12078_LC
246451028, 348.278559, 0.610072, 18.264, GO12078_LC
246451222, 351.30022, 0.615942, 16.761, GO12078_LC
246451399, 348.696534, 0.621521, 18.415, GO12078_LC
246451569, 348.097605, 0.626976, 18.643, GO12078_LC
246451678, 351.663112, 0.630411, 16.918, GO12078_LC
246452059, 351.512999, 0.642565, 18.31, GO12078_LC
246452160, 350.858064, 0.64659, 18.513, GO12078_LC
246452551, 350.714298, 0.659056, 17.32, GO12078_LC
246452559, 351.650345, 0.659329, 17.589, GO12078_LC
246452885, 351.470224, 0.670587, 18.034, GO12078_LC
246452923, 350.076208, 0.671748, 18.269, GO12078_LC
246452941, 350.63199, 0.672454, 17.632, GO12078_LC
246452972, 351.090237, 0.673528, 18.565, GO12078_LC
246453091, 351.251593, 0.676825, 17.544, GO12078_LC
246453095, 348.926475, 0.676934, 18.284, GO12078_LC
246453352, 351.114044, 0.686451, 17.51, GO12078_LC
246453550, 351.465721, 0.69325, 17.852, GO12078_LC
246453953, 351.431035, 0.707601, 18.137, GO12078_LC
246453977, 348.062426, 0.708668, 17.891, GO12078_LC
246454332, 349.78221, 0.72082, 18.304, GO12078_LC
246454403, 351.239477, 0.723189, 18.232, GO12078_LC
246454435, 348.029461, 0.724077, 18.184, GO12078_LC
246454905, 348.791755, 0.739881, 17.927, GO12078_LC
246454939, 350.946994, 0.740998, 17.115, GO12078_LC
246455010, 348.166863, 0.742846, 18.525, GO12078_LC
246455125, 348.887893, 0.746755, 18.353, GO12078_LC
246455217, 348.863879, 0.750014, 18.532, GO12078_LC
246455471, 348.830028, 0.758292, 18.179, GO12078_LC
