EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212370106, 201.2718658, -15.6250734, 14.563, GO6016_LC
212372981, 210.6118011, -15.5541563, 14.22, GO6016_LC|GO6032_LC
212375832, 210.8285828, -15.482583, 14.992, GO6016_LC
212378715, 200.5730133, -15.4120092, 13.331, GO6016_LC|GO6032_LC
212379470, 209.2604828, -15.3946667, 14.903, GO6016_LC
212381245, 210.9208069, -15.3501968, 14.884, GO6016_LC
212382555, 200.2097473, -15.3189201, 11.796, GO6016_LC|GO6030_LC|GO6032_LC
212383382, 205.1268616, -15.2998219, 14.866, GO6016_LC
212383759, 209.179657, -15.2909517, 14.78, GO6016_LC
212384267, 211.3188782, -15.27812, 13.573, GO6016_LC|GO6030_LC
212384773, 210.3877106, -15.2663412, 13.752, GO6016_LC|GO6032_LC
212385698, 211.4504395, -15.2439184, 9.168, GO6016_LC|GO6030_LC|GO6086_LC|GO6087_LC
212386720, 204.8255005, -15.2209806, 14.464, GO6008_LC|GO6016_LC|GO6032_LC
212387225, 210.6688538, -15.2095909, 14.928, GO6016_LC
212388137, 203.7116089, -15.1887226, 14.939, GO6016_LC
212389114, 204.8326416, -15.1655407, 14.747, GO6016_LC
212389263, 211.3609924, -15.1619911, 14.928, GO6016_LC
212389272, 204.8285217, -15.1617317, 14.706, GO6016_LC|GO6032_LC
212391178, 211.3115234, -15.1165524, 8.818, GO6016_LC|GO6032_LC
212392768, 210.6184692, -15.0790462, 14.994, GO6016_LC
212394893, 210.9944611, -15.0311947, 9.051, GO6016_LC|GO6030_LC|GO6071_LC|GO6086_LC|GO6087_LC
212395270, 210.692688, -15.022274, 14.35, GO6016_LC
212396217, 204.2870789, -15.0007648, 14.958, GO6008_LC|GO6016_LC|GO6071_LC
212397473, 211.1124115, -14.9717054, 6.146, GO6016_LC|GO6075_LC
212398212, 205.5183411, -14.9544144, 14.992, GO6016_LC
212398633, 211.1066589, -14.9440031, 9.882, GO6016_LC|GO6030_LC|GO6086_LC
212399425, 203.1377563, -14.9266386, 14.872, GO6016_LC
212402515, 211.3042755, -14.8570709, 7.085, GO6016_LC|GO6084_LC
212402613, 211.3969116, -14.8549824, 12.28, GO6016_LC|GO6032_LC
212402751, 211.40065, -14.8520966, 12.9, GO6016_LC|GO6030_LC
212404121, 202.4975281, -14.8195019, 14.105, GO6016_LC|GO6032_LC
212405454, 201.390564, -14.789094, 14.722, GO6008_LC|GO6016_LC
212406696, 205.5064392, -14.7609844, 13.728, GO6016_LC|GO6032_LC
212406848, 205.504425, -14.7579088, 13.9, GO6016_LC|GO6030_LC|GO6032_LC
212407605, 201.6928101, -14.7411976, 14.946, GO6016_LC
212408856, 205.4077301, -14.7117233, 14.309, GO6016_LC
212409686, 211.4661713, -14.6937132, 14.653, GO6016_LC|GO6032_LC
212413589, 204.3580475, -14.6054659, 14.212, GO6016_LC|GO6032_LC
212414738, 204.719162, -14.5812912, 8.881, GO6016_LC|GO6030_LC|GO6086_LC|GO6087_LC
212415320, 205.1447449, -14.567585, 14.764, GO6008_LC|GO6016_LC
212416509, 201.7167969, -14.5406666, 14.402, GO6016_LC
212417707, 210.2319641, -14.5125771, 14.745, GO6016_LC|GO6032_LC
212417873, 204.162384, -14.5093727, 14.511, GO6016_LC
212417884, 204.1588135, -14.5091677, 14.54, GO6016_LC
212417899, 203.3005371, -14.5088873, 14.928, GO6016_LC
212418391, 211.3049469, -14.4987612, 13.225, GO6016_LC
212418399, 202.5007477, -14.4987125, 12.787, GO6016_LC|GO6030_LC|GO6032_LC
212418523, 211.3026886, -14.4958906, 13.225, GO6016_LC|GO6032_LC
212418541, 199.0662231, -14.495554, 14.426, GO6008_LC|GO6016_LC|GO6032_LC
212418579, 201.3149414, -14.4946756, 14.44, GO6008_LC|GO6016_LC|GO6032_LC
212418877, 198.3683167, -14.4873228, 14.341, GO6008_LC|GO6016_LC|GO6032_LC
212419603, 200.2559357, -14.4713488, 14.769, GO6016_LC
212419759, 204.8372345, -14.4682264, 14.399, GO6016_LC|GO6032_LC
212419795, 201.9320984, -14.4672499, 10.573, GO6016_LC|GO6030_LC|GO6086_LC
212420187, 203.5979614, -14.4589014, 14.744, GO6016_LC
212420315, 203.5977631, -14.456439, 14.744, GO6016_LC
212420510, 205.695282, -14.4514666, 14.632, GO6016_LC
212421214, 204.2018585, -14.4359226, 14.688, GO6016_LC
212421687, 202.4488373, -14.4255533, 14.736, GO6008_LC|GO6016_LC
212421951, 200.5266724, -14.4198742, 6.535, GO6016_LC
212422408, 197.9452972, -14.4094019, 14.852, GO6016_LC
212424568, 202.049942, -14.3606977, 13.556, GO6016_LC|GO6032_LC
212424728, 210.6426392, -14.3571711, 8.78, GO6016_LC|GO6032_LC
212425003, 211.3630981, -14.3512297, 14.748, GO6016_LC
212425179, 211.3635406, -14.3472309, 14.338, GO6016_LC|GO6032_LC
212425539, 198.8222351, -14.3389645, 14.709, GO6016_LC
212426125, 204.5339203, -14.3249817, 14.993, GO6008_LC|GO6016_LC
212427184, 211.2973175, -14.3012037, 12.73, GO6016_LC|GO6030_LC
212427472, 204.7358856, -14.2944756, 9.283, GO6016_LC|GO6032_LC
212429148, 209.5207367, -14.2581768, 14.86, GO6016_LC
212430644, 204.5014801, -14.2243633, 9.316, GO6016_LC|GO6030_LC|GO6084_LC|GO6086_LC
212430753, 210.0998383, -14.2222881, 9.649, GO6016_LC|GO6030_LC|GO6086_LC|GO6087_LC
212430967, 197.7364502, -14.2173243, 14.085, GO6008_LC|GO6016_LC|GO6032_LC
212432117, 198.4566345, -14.1926785, 14.696, GO6016_LC|GO6032_LC
212432464, 201.7452698, -14.1857405, 9.943, GO6016_LC|GO6030_LC|GO6087_LC
212432474, 210.5853577, -14.1854935, 14.626, GO6008_LC|GO6016_LC|GO6032_LC
212433057, 201.9593964, -14.171011, 13.569, GO6016_LC|GO6030_LC
212433139, 199.303299, -14.1691656, 14.775, GO6016_LC
212433328, 205.5139923, -14.1651917, 14.893, GO6016_LC
212433591, 198.732666, -14.1595392, 14.658, GO6016_LC|GO6032_LC
212433754, 201.3905792, -14.1558218, 14.878, GO6008_LC|GO6016_LC
212434369, 198.4144897, -14.1416245, 14.791, GO6016_LC
212434880, 203.8690796, -14.1301508, 14.775, GO6016_LC|GO6032_LC
212435600, 197.6341248, -14.114109, 14.105, GO6016_LC|GO6032_LC
212437622, 199.4847412, -14.0718298, 9.194, GO6016_LC|GO6032_LC
212438460, 209.3761597, -14.0523634, 14.521, GO6008_LC|GO6016_LC|GO6032_LC
212438858, 201.2685242, -14.0433826, 12.825, GO6016_LC|GO6030_LC
212439494, 201.2740936, -14.029047, 13.733, GO6008_LC|GO6016_LC|GO6032_LC
212439664, 199.6178589, -14.0256472, 14.787, GO6008_LC|GO6016_LC
212440024, 199.2210388, -14.0181236, 14.498, GO6016_LC
212440780, 210.9077454, -14.0013065, 14.823, GO6016_LC
212440930, 211.6053619, -13.9981871, 14.689, GO6016_LC|GO6032_LC
212441793, 199.5415344, -13.9793787, 9.402, GO6016_LC|GO6032_LC
212442578, 205.1515961, -13.9618263, 14.508, GO6008_LC|GO6016_LC|GO6032_LC
212442648, 197.8551788, -13.9602203, 14.876, GO6016_LC
212443621, 197.5861816, -13.9397507, 14.706, GO6016_LC
212444231, 198.7873383, -13.9260778, 14.625, GO6008_LC|GO6016_LC|GO6032_LC
212445591, 210.5431824, -13.897295, 14.726, GO6008_LC|GO6016_LC
212445953, 198.1615601, -13.8898392, 12.892, GO6016_LC|GO6078_LC
212446586, 198.8569336, -13.8762703, 14.27, GO6008_LC|GO6016_LC|GO6032_LC
212446619, 201.8599548, -13.8755798, 10.177, GO6016_LC|GO6032_LC
212448066, 197.8095398, -13.8437624, 11.358, GO6016_LC|GO6078_LC
212448085, 211.0262909, -13.8433285, 14.188, GO6016_LC
212448132, 209.5086975, -13.8424397, 14.704, GO6008_LC|GO6016_LC
212448247, 211.0257721, -13.8400478, 14.564, GO6016_LC
212448276, 200.3077393, -13.8394842, 14.706, GO6016_LC
212448300, 198.4093323, -13.8389988, 14.913, GO6016_LC
212448686, 198.5178528, -13.8299971, 14.618, GO6016_LC|GO6032_LC
212449104, 200.3959503, -13.8214693, 14.692, GO6008_LC|GO6016_LC|GO6032_LC
212449488, 199.3441162, -13.8135481, 14.884, GO6016_LC
212449499, 201.6508331, -13.8133554, 14.746, GO6016_LC
212449605, 204.7521362, -13.8107491, 13.479, GO6016_LC|GO6030_LC
212449910, 204.7304382, -13.8047571, 8.939, GO6016_LC|GO6032_LC
212450170, 209.8975372, -13.7986364, 14.477, GO6016_LC|GO6032_LC
212450545, 202.3717651, -13.7902575, 13.233, GO6016_LC|GO6030_LC
212451129, 209.743576, -13.778451, 14.983, GO6016_LC
212451136, 205.6877747, -13.7783098, 13.448, GO6016_LC|GO6030_LC
212451149, 199.5343933, -13.7780666, 9.329, GO6016_LC|GO6032_LC
212451273, 205.6889496, -13.7754364, 13.218, GO6016_LC
212451296, 205.688324, -13.7750244, 13.186, GO6016_LC
