EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
214064837, 284.9995117, -27.4754162, 11.41, GO7030_LC|GO7021_LC|GO7087_LC|GO7028_LC
214068921, 283.0015564, -27.4642353, 11.507, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214069018, 285.7205811, -27.4639587, 11.915, GO7030_LC|GO7087_LC
214071318, 285.5836487, -27.4576511, 11.795, GO7030_LC|GO7087_LC
214073502, 293.7866821, -27.4518013, 9.123, GO7086_LC|GO7039_LC|GO7087_LC|GO7030_LC|GO7039_SC
214078153, 283.2791443, -27.4391327, 11.935, GO7030_LC|GO7087_LC
214080260, 281.8294983, -27.4332504, 11.892, GO7030_LC|GO7087_LC
214082960, 290.9075012, -27.4259624, 10.615, GO7086_LC|GO7087_LC|GO7030_LC
214089420, 285.0262146, -27.4083157, 11.916, GO7030_LC|GO7087_LC
214090268, 285.8406067, -27.4060879, 11.943, GO7030_LC|GO7087_LC
214093100, 291.8436279, -27.398262, 11.804, GO7030_LC|GO7087_LC
214107707, 290.4382935, -27.3583775, 10.679, GO7040_LC|GO7087_LC|GO7030_LC
214112021, 281.5677795, -27.3463554, 8.273, GO7039_LC|GO7078_LC|GO7087_LC|GO7030_LC
214118877, 286.7940674, -27.3280449, 9.658, GO7086_LC|GO7087_LC|GO7030_LC
214125640, 293.66922, -27.3094807, 11.895, GO7030_LC|GO7087_LC
214135018, 285.3665771, -27.2839813, 11.881, GO7030_LC|GO7087_LC|GO7028_LC
214152482, 281.7682495, -27.2362862, 11.758, GO7086_LC|GO7030_LC|GO7087_LC
214154853, 293.3459473, -27.230114, 11.303, GO7086_LC|GO7030_LC|GO7087_LC
214155925, 287.2690125, -27.2271137, 9.068, GO7039_LC|GO7087_LC|GO7030_LC|GO7039_SC
214156042, 286.6289673, -27.2267723, 11.478, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214157584, 288.6872559, -27.2225266, 11.813, GO7030_LC|GO7087_LC
214158116, 283.8352661, -27.2210884, 11.629, GO7086_LC|GO7030_LC|GO7087_LC
214160061, 283.8963928, -27.2158871, 11.915, GO7030_LC|GO7087_LC
214162806, 281.3292236, -27.2083645, 11.891, GO7030_LC|GO7087_LC
214178331, 282.884552, -27.1661968, 11.857, GO7030_LC|GO7087_LC
214185621, 284.993988, -27.1463718, 11.827, GO7030_LC|GO7087_LC|GO7028_LC
214185912, 284.9104614, -27.1455841, 11.791, GO7030_LC|GO7087_LC
214191815, 283.7982483, -27.1298504, 11.995, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214195288, 288.5691528, -27.1205196, 10.33, GO7086_LC|GO7087_LC|GO7030_LC
214209493, 286.0547485, -27.0829296, 10.944, GO7086_LC|GO7087_LC|GO7030_LC
214209855, 286.6091309, -27.0819397, 11.156, GO7086_LC|GO7087_LC|GO7030_LC
214213910, 293.6356201, -27.0711269, 11.722, GO7086_LC|GO7030_LC|GO7087_LC
214217412, 285.2597961, -27.0620594, 10.038, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
214220139, 282.8141174, -27.0546665, 11.996, GO7030_LC|GO7087_LC
214223262, 288.4868164, -27.0463142, 11.248, GO7086_LC|GO7087_LC|GO7030_LC
214228239, 288.1468506, -27.0326118, 10.845, GO7086_LC|GO7087_LC|GO7030_LC
214229261, 288.0592651, -27.0299416, 9.693, GO7078_LC|GO7087_LC|GO7030_LC
214232547, 293.3871765, -27.0210743, 11.838, GO7030_LC|GO7087_LC|GO7028_LC
214237997, 288.4255981, -27.0066051, 11.864, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214239045, 289.6417236, -27.0038223, 11.781, GO7030_LC|GO7087_LC
214240970, 288.5540161, -26.9984303, 11.801, GO7086_LC|GO7030_LC|GO7087_LC
214250218, 281.8610535, -26.9740257, 11.825, GO7086_LC|GO7030_LC|GO7087_LC
214250802, 285.2289124, -26.9725552, 11.697, GO7030_LC|GO7021_LC|GO7087_LC
214251579, 283.1121216, -26.9704971, 11.587, GO7086_LC|GO7030_LC|GO7087_LC
214254257, 285.8700562, -26.9634151, 11.11, GO7086_LC|GO7087_LC|GO7030_LC
214259232, 293.6816101, -26.9500637, 11.739, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214260232, 289.8711548, -26.9474812, 11.899, GO7086_LC|GO7030_LC|GO7087_LC
214262046, 283.7676392, -26.9427242, 11.199, GO7086_LC|GO7087_LC|GO7030_LC
214284261, 283.7218933, -26.8845863, 11.92, GO7030_LC|GO7087_LC|GO7028_LC
214286514, 290.1261597, -26.8785439, 11.69, GO7086_LC|GO7030_LC|GO7087_LC
214286630, 293.7516174, -26.8782368, 11.948, GO7030_LC|GO7087_LC
214294842, 287.9751587, -26.8570118, 11.823, GO7030_LC|GO7087_LC
214296876, 293.2289124, -26.8517513, 11.929, GO7030_LC|GO7087_LC
214299749, 283.1058655, -26.8442478, 11.965, GO7030_LC|GO7087_LC
214299998, 293.3891296, -26.8436203, 11.838, GO7030_LC|GO7087_LC
214300649, 293.3900146, -26.8419743, 11.838, GO7030_LC|GO7087_LC
214303214, 290.23526, -26.8352127, 10.959, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
214303371, 285.3963623, -26.8347893, 11.836, GO7086_LC|GO7030_LC|GO7087_LC
214306574, 286.111908, -26.8265896, 11.989, GO7086_LC|GO7030_LC|GO7087_LC
214308402, 292.897522, -26.8218555, 11.65, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214314277, 285.710144, -26.8063698, 11.662, GO7086_LC|GO7030_LC|GO7087_LC|GO7032_LC
214315800, 293.6891785, -26.8025608, 11.786, GO7030_LC|GO7087_LC
214323224, 286.995575, -26.7836971, 10.634, GO7086_LC|GO7087_LC|GO7030_LC
214324736, 285.8668213, -26.7797718, 10.331, GO7086_LC|GO7078_LC|GO7071_LC|GO7087_LC|GO7030_LC
214325552, 293.0775452, -26.7777004, 11.937, GO7086_LC|GO7030_LC|GO7087_LC
214330695, 289.9771118, -26.7642021, 11.749, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
214332028, 293.8648682, -26.7607079, 11.688, GO7086_LC|GO7030_LC|GO7016_LC|GO7087_LC
214332646, 284.4963074, -26.7590828, 11.67, GO7086_LC|GO7030_LC|GO7087_LC
214334929, 288.1120605, -26.7531071, 11.849, GO7086_LC|GO7030_LC|GO7087_LC
214335707, 286.3109741, -26.7510242, 11.947, GO7030_LC|GO7087_LC
214335843, 293.8623657, -26.7506638, 11.807, GO7030_LC|GO7087_LC
214343851, 288.9038391, -26.7299538, 11.437, GO7030_LC|GO7021_LC|GO7040_LC|GO7087_LC
214354187, 292.9582825, -26.7036495, 11.817, GO7030_LC|GO7087_LC
214358326, 287.9543762, -26.6930027, 11.922, GO7086_LC|GO7087_LC|GO7028_LC
214363337, 285.1204529, -26.680151, 11.429, GO7086_LC|GO7030_LC|GO7087_LC
214363970, 289.762207, -26.678587, 11.987, GO7030_LC|GO7087_LC
214365616, 286.1419067, -26.6743851, 11.961, GO7030_LC|GO7087_LC
214366145, 293.0693359, -26.6730175, 11.891, GO7030_LC|GO7087_LC|GO7028_LC
214368899, 281.1460876, -26.6660061, 11.913, GO7030_LC|GO7087_LC
214378308, 286.436554, -26.6420746, 8.878, GO7039_LC|GO7078_LC|GO7087_LC|GO7030_LC|GO7039_SC
214388489, 285.9378357, -26.6164608, 11.969, GO7030_LC|GO7087_LC|GO7028_LC
214400941, 285.7183228, -26.5846558, 11.907, GO7030_LC|GO7087_LC
214404873, 285.7099304, -26.5748997, 10.201, GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC
214408246, 286.5367737, -26.5666676, 10.422, GO7078_LC|GO7087_LC|GO7030_LC
214413437, 281.1565552, -26.5540485, 11.987, GO7086_LC|GO7030_LC|GO7087_LC
214416077, 288.4471436, -26.5471821, 11.98, GO7030_LC|GO7087_LC
214417858, 281.0507812, -26.5428085, 11.863, GO7030_LC|GO7087_LC
214419545, 283.4346313, -26.5386009, 11.458, GO7086_LC|GO7030_LC|GO7087_LC
214419816, 292.9303589, -26.5379086, 10.883, GO7086_LC|GO7087_LC|GO7030_LC
214422419, 281.199585, -26.5314255, 11.82, GO7030_LC|GO7087_LC
214427593, 287.9055481, -26.5183468, 11.784, GO7030_LC|GO7087_LC|GO7028_LC
214428676, 288.9927063, -26.5155869, 11.849, GO7030_LC|GO7087_LC
214431048, 287.9210815, -26.5096836, 11.963, GO7030_LC|GO7087_LC
214436294, 286.0993042, -26.4969101, 11.516, GO7086_LC|GO7030_LC|GO7087_LC
214450731, 281.7550049, -26.4607944, 11.912, GO7030_LC|GO7087_LC
214454236, 285.7886047, -26.4522133, 11.81, GO7030_LC|GO7087_LC
214454542, 293.1046448, -26.4514217, 11.421, GO7086_LC|GO7030_LC|GO7087_LC
214457249, 286.0037537, -26.4447803, 11.792, GO7030_LC|GO7087_LC|GO7028_LC
214474550, 293.5542297, -26.401825, 11.82, GO7086_LC|GO7030_LC|GO7087_LC
214483739, 281.9042969, -26.3792248, 11.438, GO7086_LC|GO7030_LC|GO7087_LC
214484823, 284.882843, -26.3764801, 11.97, GO7030_LC|GO7087_LC
