EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200063300, , , , GO8010_LC|1999TS40_TILE
200063301, , , , GO8010_LC|1999TS40_TILE
200063302, , , , GO8010_LC|1999TS40_TILE
200063303, , , , GO8010_LC|1999TS40_TILE
200063304, , , , GO8010_LC|1999TS40_TILE
200063305, , , , GO8010_LC|1999TS40_TILE
200063306, , , , GO8010_LC|1999TS40_TILE
200063307, , , , GO8010_LC|1999TS40_TILE
200063308, , , , GO8010_LC|1999TS40_TILE
200063309, , , , GO8010_LC|1999TS40_TILE
200063310, , , , GO8010_LC|1999TS40_TILE
200063311, , , , GO8010_LC|1999TS40_TILE
200063312, , , , GO8010_LC|1999TS40_TILE
200063313, , , , GO8010_LC|1999TS40_TILE
200063314, , , , GO8010_LC|1999TS40_TILE
200063315, , , , GO8010_LC|1999TS40_TILE
200063316, , , , GO8010_LC|1999TS40_TILE
200063317, , , , GO8010_LC|1999TS40_TILE
200063318, , , , GO8010_LC|1999TS40_TILE
200063319, , , , GO8010_LC|1999TS40_TILE
200063320, , , , GO8010_LC|1999TS40_TILE
200063321, , , , GO8010_LC|1999TS40_TILE
200063322, , , , GO8010_LC|1999TS40_TILE
200063323, , , , GO8010_LC|1999TS40_TILE
200063324, , , , GO8010_LC|1999TS40_TILE
200063325, , , , GO8010_LC|1999TS40_TILE
200063326, , , , GO8010_LC|1999TS40_TILE
200063327, , , , GO8010_LC|1999TS40_TILE
200063328, , , , GO8010_LC|1999TS40_TILE
200063329, , , , GO8010_LC|1999TS40_TILE
200063330, , , , GO8010_LC|1999TS40_TILE
200063331, , , , GO8010_LC|1999TS40_TILE
200063332, , , , GO8010_LC|1999TS40_TILE
200063333, , , , GO8010_LC|1999TS40_TILE
200063334, , , , GO8010_LC|1999TS40_TILE
200063335, , , , GO8010_LC|1999TS40_TILE
200063336, , , , GO8010_LC|1999TS40_TILE
200063337, , , , GO8010_LC|1999TS40_TILE
200063338, , , , GO8010_LC|1999TS40_TILE
200063339, , , , GO8010_LC|1999TS40_TILE
200063340, , , , GO8010_LC|1999TS40_TILE
200063341, , , , GO8010_LC|1999TS40_TILE
200063342, , , , GO8010_LC|1999TS40_TILE
200063343, , , , GO8010_LC|1999TS40_TILE
200063344, , , , GO8010_LC|1999TS40_TILE
200063345, , , , GO8010_LC|1999TS40_TILE
200063346, , , , GO8010_LC|1999TS40_TILE
200063347, , , , GO8010_LC|1999TS40_TILE
200063348, , , , GO8010_LC|1999TS40_TILE
200063349, , , , GO8010_LC|1999TS40_TILE
200063350, , , , GO8010_LC|1999TS40_TILE
200063351, , , , GO8010_LC|1999TS40_TILE
200063352, , , , GO8010_LC|1999TS40_TILE
200063353, , , , GO8010_LC|1999TS40_TILE
200063354, , , , GO8010_LC|1999TS40_TILE
200063355, , , , GO8010_LC|1999TS40_TILE
200063356, , , , GO8010_LC|1999TS40_TILE
200063357, , , , GO8010_LC|1999TS40_TILE
200063358, , , , GO8010_LC|1999TS40_TILE
200063359, , , , GO8010_LC|1999TS40_TILE
200063360, , , , GO8010_LC|1999TS40_TILE
200063361, , , , GO8010_LC|1999TS40_TILE
200063362, , , , GO8010_LC|1999TS40_TILE
200063363, , , , GO8010_LC|1999TS40_TILE
200063364, , , , GO8010_LC|1999TS40_TILE
200063365, , , , GO8010_LC|1999TS40_TILE
200063366, , , , GO8010_LC|1999TS40_TILE
200063367, , , , GO8010_LC|1999TS40_TILE
200063368, , , , GO8010_LC|1999TS40_TILE
200063369, , , , GO8010_LC|1999TS40_TILE
200063370, , , , GO8010_LC|1999TS40_TILE
200063371, , , , GO8010_LC|1999TS40_TILE
200063372, , , , GO8010_LC|1999TS40_TILE
200063373, , , , GO8010_LC|1999TS40_TILE
200063374, , , , GO8010_LC|1999TS40_TILE
200063375, , , , GO8010_LC|1999TS40_TILE
200063376, , , , GO8010_LC|1999TS40_TILE
200063377, , , , GO8010_LC|1999TS40_TILE
200063378, , , , GO8010_LC|1999TS40_TILE
200063379, , , , GO8010_LC|1999TS40_TILE
200063380, , , , GO8010_LC|1999TS40_TILE
200063381, , , , GO8010_LC|1999TS40_TILE
200063382, , , , GO8010_LC|1999TS40_TILE
200063383, , , , GO8010_LC|1999TS40_TILE
200063384, , , , GO8010_LC|1999TS40_TILE
200063385, , , , GO8010_LC|1999TS40_TILE
200063386, , , , GO8010_LC|1999TS40_TILE
200063387, , , , GO8010_LC|1999TS40_TILE
200063388, , , , GO8010_LC|1999TS40_TILE
200063389, , , , GO8010_LC|1999TS40_TILE
200063390, , , , GO8010_LC|1999TS40_TILE
200063391, , , , GO8010_LC|1999TS40_TILE
200063392, , , , GO8010_LC|1999TS40_TILE
200063393, , , , GO8010_LC|1999TS40_TILE
200063394, , , , GO8010_LC|1999TS40_TILE
200063395, , , , GO8010_LC|1999TS40_TILE
200063396, , , , GO8010_LC|1999TS40_TILE
200063397, , , , GO8010_LC|1999TS40_TILE
200063398, , , , GO8010_LC|1999TS40_TILE
200063399, , , , GO8010_LC|1999TS40_TILE
200063400, , , , GO8010_LC|1999TS40_TILE
200063401, , , , GO8010_LC|1999TS40_TILE
200063402, , , , GO8010_LC|1999TS40_TILE
200063403, , , , GO8010_LC|1999TS40_TILE
200063404, , , , GO8010_LC|1999TS40_TILE
200063405, , , , GO8010_LC|1999TS40_TILE
200063406, , , , GO8010_LC|1999TS40_TILE
200063407, , , , GO8010_LC|1999TS40_TILE
200063408, , , , GO8010_LC|1999TS40_TILE
200063409, , , , GO8010_LC|1999TS40_TILE
200063410, , , , GO8010_LC|1999TS40_TILE
200063411, , , , GO8010_LC|1999TS40_TILE
200063412, , , , GO8010_LC|1999TS40_TILE
200063413, , , , GO8010_LC|1999TS40_TILE
200063414, , , , GO8010_LC|1999TS40_TILE
200063415, , , , GO8010_LC|1999TS40_TILE
200063416, , , , GO8010_LC|1999TS40_TILE
200063417, , , , GO8010_LC|1999TS40_TILE
200063418, , , , GO8010_LC|1999TS40_TILE
200063419, , , , GO8010_LC|1999TS40_TILE
200063420, , , , GO8010_LC|1999TS40_TILE
200063421, , , , GO8010_LC|1999TS40_TILE
200063422, , , , GO8010_LC|1999TS40_TILE
200063423, , , , GO8010_LC|1999TS40_TILE
200063424, , , , GO8010_LC|1999TS40_TILE
200063425, , , , GO8010_LC|1999TS40_TILE
200063426, , , , GO8010_LC|1999TS40_TILE
200063427, , , , GO8010_LC|1999TS40_TILE
200063428, , , , GO8010_LC|1999TS40_TILE
200063429, , , , GO8010_LC|1999TS40_TILE
200063430, , , , GO8010_LC|1999TS40_TILE
200063431, , , , GO8010_LC|1999TS40_TILE
200063432, , , , GO8010_LC|1999TS40_TILE
200063433, , , , GO8010_LC|1999TS40_TILE
200063434, , , , GO8010_LC|1999TS40_TILE
200063435, , , , GO8010_LC|1999TS40_TILE
200063436, , , , GO8010_LC|1999TS40_TILE
200063437, , , , GO8010_LC|1999TS40_TILE
200063438, , , , GO8010_LC|1999TS40_TILE
200063439, , , , GO8010_LC|1999TS40_TILE
200063440, , , , GO8010_LC|1999TS40_TILE
200063441, , , , GO8010_LC|1999TS40_TILE
200063442, , , , GO8010_LC|1999TS40_TILE
200063443, , , , GO8010_LC|1999TS40_TILE
200063444, , , , GO8010_LC|1999TS40_TILE
200063445, , , , GO8010_LC|1999TS40_TILE
200063446, , , , GO8010_LC|1999TS40_TILE
200063447, , , , GO8010_LC|1999TS40_TILE
200063448, , , , GO8010_LC|1999TS40_TILE
