#Custom Aperture Number, Target Name
#SET 2016-04-18
200062016,Trojan 2001 SM251
200062017,Trojan 2001 SM251
200062018,Trojan 2001 SM251
200062019,Trojan 2001 SM251
200062020,Trojan 2001 SM251
200062021,Trojan 2001 SM251
200062022,Trojan 2001 SM251
200062023,Trojan 2001 SM251
200062024,Trojan 2001 SM251
200062025,Trojan 2001 SM251
200062026,Trojan 2001 SM251
200062027,Trojan 2001 SM251
200062028,Trojan 2001 SM251
200062029,Trojan 2001 SM251
200062030,Trojan 2001 SM251
200062031,Trojan 2001 SM251
200062032,Trojan 2001 SM251
200062033,Trojan 2001 SM251
200062034,Trojan 2001 SM251
200062035,Trojan 2001 SM251
200062036,Trojan 2001 SM251
200062037,Trojan 2001 SM251
200062038,Trojan 2001 SM251
200062039,Trojan 2001 SM251
200062040,Trojan 2001 SM251
200062041,Trojan 2001 SM251
200062042,Trojan 2001 SM251
200062043,Trojan 2001 SM251
200062044,Trojan 2001 SM251
200062045,Trojan 2001 SM251
200062046,Trojan 2001 SM251
200062047,Trojan 2001 SM251
200062048,Trojan 2001 SM251
200062049,Trojan 2001 SM251
200062050,Trojan 2001 SM251
200062051,Trojan 2001 SM251
200062052,Trojan 2001 SM251
200062053,Trojan 2001 SM251
200062054,Trojan 2001 SM251
200062055,Trojan 2001 SM251
200062056,Trojan 2001 SM251
200062057,Trojan 2001 SM251
200062058,Trojan 2001 SM251
200062059,Trojan 2001 SM251
200062060,Trojan 2001 SM251
200062061,Trojan 2001 SM251
200062062,Trojan 2001 SM251
200062063,Trojan 2001 SM251
200062064,Trojan 2001 SM251
200062065,Trojan 2001 SM251
200062066,Trojan 2001 SM251
200062067,Trojan 2001 SM251
200062068,Trojan 2001 SM251
200062069,Trojan 2001 SM251
200062070,Trojan 2001 SM251
200062071,Trojan 2001 SM251
200062072,Trojan 2001 SM251
200062073,Trojan 2001 SM251
200062074,Trojan 2001 SM251
200062075,Trojan 2001 SM251
200062076,Trojan 2001 SM251
200062077,Trojan 2001 SM251
200062078,Trojan 2001 SM251
200062079,Trojan 2001 SM251
200062080,Trojan 2001 SM251
200062081,Trojan 2001 SM251
200062082,Trojan 2001 SM251
200062083,Trojan 2001 SM251
200062084,Trojan 2001 SM251
200062085,Trojan 2001 SM251
200062086,Trojan 2001 SM251
200062087,Trojan 2001 SM251
200062088,Trojan 2001 SM251
200062089,Trojan 2001 SM251
200062090,Trojan 2001 SM251
200062091,Trojan 2001 SM251
